Date,Day,Sleep Hour,Exercise Hour,Study Hour,StudyDS Hour,Work Hour,End of the day Feeling (0 to 10),,,
14-Jan,Friday,7,2,2,0,0,1,,,
15-Jan,Saturday,7,2,0,0,0,2,,,
16-Jan,Sunday,7,0,4,0,0,1,,,
17-Jan,Monday,8,4,2,0,0,1,,,
18-Jan,Tuesday,8,2,1,0,0,1,,,
19-Jan,Wednesday,8,4,2,0,0,2,,,
20-Jan,Thursday,7,0,3,0,3,3,,,
21-Jan,Friday,7,2,2,2,0,1,,,
22-Jan,Saturday,9,2,0,0,3,2,,,
23-Jan,Sunday,7,0,0,0,3,1,,,
24-Jan,Monday,8,4,2,0,0,2,,,
25-Jan,Tuesday,6,2,3,1,0,1,,,
26-Jan,Wednesday,7,4,1,0,0,1,,,
27-Jan,Thursday,8,0,2,0,2,1,,,
28-Jan,Friday,9,2,1,0,0,1,,,
29-Jan,Saturday,7,2,2,2,2,0,,,
30-Jan,Sunday,8,0,3,0,3,1,,,
31-Jan,Monday,8,4,1,0,0,1,,,
1-Feb,Tuesday,8,2,2,1,1,2,,,
2-Feb,Wednesday,7,4,3,0,0,3,,,
3-Feb,Thursday,7,0,2,0,3,5,,,
4-Feb,Friday,6,2,1,2,2,1,,,
5-Feb,Saturday,8,2,2,0,2,2,,,
6-Feb,Sunday,7,0,1,0,2,2,,,
7-Feb,Monday,7,4,2,1,0,2,,,
8-Feb,Tuesday,8,2,3,0,0,1,,,
9-Feb,Wednesday,8,4,1,1,0,2,,,
10-Feb,Thursday,8,0,2,0,2,2,,,
11-Feb,Friday,8,2,0,0,1,2,,,
12-Feb,Saturday,7,2,0,0,3,1,,,
13-Feb,Sunday,6,0,0,1,1,2,,,
14-Feb,Monday,8,4,1,0,0,1,,,
15-Feb,Tuesday,6,2,2,2,0,2,,,
16-Feb,Wednesday,5,4,1,1,0,2,,,
17-Feb,Thursday,7,0,3,1,2,2,,,
18-Feb,Friday,8,2,4,0,1,1,,,
19-Feb,Saturday,9,2,0,0,2,2,,,
20-Feb,Sunday,7,0,0,0,1,1,,,
21-Feb,Monday,9,4,2,1,0,2,,,
22-Feb,Tuesday,8,2,1,2,0,2,,,
23-Feb,Wednesday,8,4,1,1,0,2,,,
24-Feb,Thursday,7,0,2,0,2,2,,,
25-Feb,Friday,8,2,3,0,2,1,,,
26-Feb,Saturday,8,2,2,2,2,1,,,
27-Feb,Sunday,8,0,0,0,1,1,,,
28-Feb,Monday,8,4,2,0,0,1,,,
1-Mar,Tuesday,7,2,2,0,2,2,,,
2-Mar,Wednesday,7,4,3,1,0,2,,,
3-Mar,Thursday,8,0,2,0,3,1,,,
4-Mar,Friday,7,2,2,0,1,2,,,
5-Mar,Saturday,7,2,1,1,2,2,,,
6-Mar,Sunday,7,0,1,0,1,1,,,
7-Mar,Monday,7,4,1,1,0,2,,,
8-Mar,Tuesday,8,2,2,2,0,5,,,
9-Mar,Wednesday,6,4,2,1,0,4,,,
10-Mar,Thursday,6,0,2,1,2,1,,,
11-Mar,Friday,6,2,1,1,1,2,,,
12-Mar,Saturday,7,2,1,0,2,1,,,
13-Mar,Sunday,8,0,2,0,1,2,,,
14-Mar,Monday,4,4,1,0,0,2,,,
15-Mar,Tuesday,7,2,2,0,0,3,,,
16-Mar,Wednesday,8,4,0,2,0,2,,,
17-Mar,Thursday,8,0,0,0,2,2,,,
18-Mar,Friday,8,2,2,0,1,1,,,
19-Mar,Saturday,7,2,0,0,2,2,,,
20-Mar,Sunday,7,2,0,0,0,0,,,
21-Mar,Monday,8,2,0,0,0,0,,,
